tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
SD10	Zalawt plain	SD10-1:SD10-4	SD10-1:SD10-4	735	726	Ma	81.8	mt	46.2	41.2	12.0	2.0	2.0	2.0	0.0	n	1.9136	0.0	17.0628	54.861	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	99.6	60.6	46.4	128.3
SD10	Zalawt plain	SD10-2:SD10-3:SD10-4	SD10-2:SD10-3:SD10-4	735	726	Ma	21.1	lt	0.9	29.8	35.0	3.0	3.0	3.0	0.0	n	2.9433	0.0	17.0628	54.861	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	23.4	12.9	88.6	197.2
SD11	Zalawt plain	SD11-2:SD11-3	SD11-2:SD11-3	735	726	Ma	14.0	mag	219.6	-9.4	319.0	2.0	2.0	2.0	0.0	r	1.9969	0.0	17.0419	54.9161	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	14.1	7.1	-49.3	337.9
SD11	Zalawt plain	SD11-2:SD11-3	SD11-2:SD11-3	735	726	Ma	4.2	mt	218.8	-7.6	3503.0	2.0	2.0	2.0	0.0	r	1.9997	0.0	17.0419	54.9161	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	4.2	2.1	-49.7	339.7
SD12	Zalawt plain	SD12-1:SD12-2:SD12-3	SD12-1:SD12-2:SD12-3	735	726	Ma	14.7	mag	281.0	-65.4	71.0	3.0	3.0	3.0	0.0	t	2.9719	0.0	17.0419	54.9158	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	23.8	19.3	-5.4	276.6
SD12	Zalawt plain	SD12-1:SD12-3	SD12-1:SD12-3	735	726	Ma	19.5	mt	285.1	-41.7	167.0	2.0	2.0	2.0	0.0	t	1.994	0.0	17.0419	54.9158	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	23.9	14.6	6.2	297.4
SD13	Zalawt plain	SD13-2	SD13-2	735	726	Ma		mag	270.4	-55.6		1.0	1.0	1.0	0.0	t		0.0	17.0456	54.9172	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	257.3	183.9	-9.7	289.9
SD13	Zalawt plain	SD13-2	SD13-2	735	726	Ma		mt	280.6	-53.7		1.0	1.0	1.0	0.0	t		0.0	17.0456	54.9172	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	251.3	175.5	-1.2	289.3
SD14	Zalawt plain	SD14-1	SD14-1	735	726	Ma		lt	353.8	14.9		1.0	1.0	1.0	0.0	n		0.0	17.0569	54.9133	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	184.6	94.7	78.7	268.1
SD14	Zalawt plain	SD14-1:SD14-2:SD14-3	SD14-1:SD14-2:SD14-3	735	726	Ma	58.9	mag	69.1	40.4	5.0	3.0	3.0	3.0	0.0	t	2.6336	0.0	17.0569	54.9133	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	71.2	43.0	25.4	127.0
SD15	Zalawt plain			735	726	Ma													17.0642	54.9067	Igneous	Volcanic Dike	Mafic Dike			This study	FS-LOC-GPS					
SD16	Zalawt plain	SD16-2	SD16-2	735	726	Ma		lt	344.3	41.9		1.0	1.0	1.0	0.0	n		0.0	17.0636	54.9056	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	220.6	135.2	73.7	353.2
SD16	Zalawt plain	SD16-1:SD16-2:SD16-3:SD16-4	SD16-1:SD16-2:SD16-3:SD16-4	735	726	Ma	24.4	mag	245.7	-59.9	15.0	4.0	4.0	4.0	0.0	t	3.8018	0.0	17.0636	54.9056	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	36.8	27.8	-29.3	287.2
SD16	Zalawt plain	SD16-2:SD16-4	SD16-2:SD16-4	735	726	Ma	59.2	mt	238.5	-43.5	20.0	2.0	2.0	2.0	0.0	r	1.9499	0.0	17.0636	54.9056	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	73.7	45.9	-35.3	305.5
