tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-6:SD1-7	SD1-1:SD1-2:SD1-3:SD1-6:SD1-7	   22.2 	lt	  351.6 	   27.7 	    13 	5.0	5 	5 	0 	n	4.6893 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   24.3 	   13.2 	   81.6 	  309.6 
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-5:SD1-6:SD1-7	SD1-1:SD1-2:SD1-3:SD1-5:SD1-6:SD1-7	   27.1 	mag	  300.0 	  -61.5 	     7 	6.0	6 	6 	0 	t	5.2909 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:DE-FM	g	   41.8 	   32.2 	    8.8 	  275.0 
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-7	SD1-1:SD1-2:SD1-3:SD1-7	   37.1 	mt	  307.4 	  -26.3 	     7 	4.0	4 	4 	0 	t	3.5767 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   40.2 	   21.8 	   29.5 	  297.3 
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-6:SD1-7	SD1-1:SD1-2:SD1-3:SD1-6:SD1-7	   22.2 	lt	  351.6 	   27.7 	    13 	5.0	5 	5 	0 	n	4.6893 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   24.3 	   13.2 	   81.6 	  309.6 
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-5:SD1-6:SD1-7	SD1-1:SD1-2:SD1-3:SD1-5:SD1-6:SD1-7	   27.1 	mag	  300.0 	  -61.5 	     7 	6.0	6 	6 	0 	t	5.2909 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:DE-BFL:LP-DC4:DE-FM:DA-DIR-GEO	g	   41.8 	   32.2 	    8.8 	  275.0 
SD1	Zalawt plain	SD1-1:SD1-2:SD1-3:SD1-7	SD1-1:SD1-2:SD1-3:SD1-7	   37.1 	mt	  307.4 	  -26.3 	     7 	4.0	4 	4 	0 	t	3.5767 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   40.2 	   21.8 	   29.5 	  297.3 
SD10	Zalawt plain	SD10-1:SD10-4	SD10-1:SD10-4	   81.8 	mt	   46.2 	   41.2 	    12 	2.0	2 	2 	0 	n	1.9136 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   99.6 	   60.6 	   46.4 	  128.3 
SD10	Zalawt plain	SD10-1:SD10-2:SD10-3:SD10-4	SD10-1:SD10-2:SD10-3:SD10-4	    9.8 	mag	   64.8 	   54.6 	    89 	4.0	4 	4 	0 	t	3.9662 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:DE-BFL-A:LP-DC4:DE-FM:DA-DIR-GEO	g	   13.8 	    9.8 	   30.1 	  113.7 
SD10	Zalawt plain	SD10-1:SD10-2:SD10-3:SD10-4	SD10-1:SD10-2:SD10-3:SD10-4	    9.8 	mag	   64.8 	   54.6 	    89 	4.0	4 	4 	0 	t	3.9662 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	   13.8 	    9.8 	   30.1 	  113.7 
SD10	Zalawt plain	SD10-1:SD10-4	SD10-1:SD10-4	   81.8 	mt	   46.2 	   41.2 	    12 	2.0	2 	2 	0 	n	1.9136 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   99.6 	   60.6 	   46.4 	  128.3 
SD10	Zalawt plain	SD10-2:SD10-3:SD10-4	SD10-2:SD10-3:SD10-4	   21.1 	lt	    0.9 	   29.8 	    35 	3.0	3 	3 	0 	n	2.9433 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   23.4 	   12.9 	   88.6 	  197.2 
SD10	Zalawt plain	SD10-2:SD10-3:SD10-4	SD10-2:SD10-3:SD10-4	   21.1 	lt	    0.9 	   29.8 	    35 	3.0	3 	3 	0 	n	2.9433 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   23.4 	   12.9 	   88.6 	  197.2 
SD11	Zalawt plain	SD11-2:SD11-3	SD11-2:SD11-3	   14.0 	mag	  219.6 	   -9.4 	   319 	2.0	2 	2 	0 	r	1.9969 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   14.1 	    7.1 	  -49.3 	  337.9 
SD11	Zalawt plain	SD11-2:SD11-3	SD11-2:SD11-3	    4.2 	mt	  218.8 	   -7.6 	  3503 	2.0	2 	2 	0 	r	1.9997 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	    4.2 	    2.1 	  -49.7 	  339.7 
SD11	Zalawt plain	SD11-2:SD11-3	SD11-2:SD11-3	   14.0 	mag	  219.6 	   -9.4 	   319 	2.0	2 	2 	0 	r	1.9969 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   14.1 	    7.1 	  -49.3 	  337.9 
SD11	Zalawt plain	SD11-2:SD11-3	SD11-2:SD11-3	    4.2 	mt	  218.8 	   -7.6 	  3503 	2.0	2 	2 	0 	r	1.9997 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	    4.2 	    2.1 	  -49.7 	  339.7 
SD12	Zalawt plain	SD12-1:SD12-3	SD12-1:SD12-3	   19.5 	mt	  285.1 	  -41.7 	   167 	2.0	2 	2 	0 	t	1.9940 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   23.9 	   14.6 	    6.2 	  297.4 
SD12	Zalawt plain	SD12-1:SD12-2:SD12-3	SD12-1:SD12-2:SD12-3	   14.7 	mag	  281.0 	  -65.4 	    71 	3.0	3 	3 	0 	t	2.9719 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	   23.8 	   19.3 	   -5.4 	  276.6 
SD12	Zalawt plain	SD12-1:SD12-3	SD12-1:SD12-3	   19.5 	mt	  285.1 	  -41.7 	   167 	2.0	2 	2 	0 	t	1.9940 	0	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   23.9 	   14.6 	    6.2 	  297.4 
SD12	Zalawt plain	SD12-1:SD12-2:SD12-3	SD12-1:SD12-2:SD12-3	   14.7 	mag	  281.0 	  -65.4 	    71 	3.0	3 	3 	0 	t	2.9719 	100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   23.8 	   19.3 	   -5.4 	  276.6 
SD13	Zalawt plain	SD13-2	SD13-2		mt	280.6	-53.7		1.0	1	1	0	t		100	17.1	54.9		ACCEPT	pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  251.3 	  175.5 	   -1.2 	  289.3 
