tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
AynC-9	AynC-9_LP-DIR-T	AynC-9		lt	12.4	8.3	2.0	6.0	0.0	3.4	2.2	523.0	273.0	K		hargrave 2023-10-06 09:49:03	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
AynC-9	AynC-9_LP-DIR-T	AynC-9		mag	256.3	7.1	2.0	16.0	0.0	0.0	3.7	845.0	673.0	K		hargrave 2023-10-06 09:49:03	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:SP-SAW	g			Zalawt plain	AynC
S100-2	S100-2_LP-DIR-T	S100-2		lt	351.9	29.1	1.0	3.0	0.0	10.4	3.4	423.0	273.0	K		hargrave 2024-07-10 09:45:53	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S100
S100-2	S100-2_LP-DIR-T	S100-2		lt	350.7	23.4	1.0	3.0	100.0	10.4	3.4	423.0	273.0	K		hargrave 2024-07-10 09:45:53	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S100
S100-3	S100-3_LP-DIR-T	S100-3		lt	359.5	19.4	1.0	4.0	100.0	7.1	5.3	553.0	273.0	K		hargrave 2024-07-16 09:24:51	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S100
S100-3	S100-3_LP-DIR-T	S100-3		lt	0.8	24.6	1.0	4.0	0.0	7.1	5.3	553.0	273.0	K		hargrave 2024-07-16 09:24:51	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S100
S101-1	S101-1_LP-DIR-T	S101-1		mag	287.0	-67.7	1.0	10.0	0.0	1.2	8.2	863.0	813.0	K		hargrave 2024-07-14 11:59:31	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S101
S101-1	S101-1_LP-DIR-T	S101-1		mag	274.5	-71.8	1.0	10.0	100.0	1.2	8.2	863.0	813.0	K		hargrave 2024-07-14 11:59:31	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S101
S101-2	S101-2_LP-DIR-T	S101-2		mag	277.7	-57.6	1.0	7.0	0.0	2.4	6.7	863.0	833.0	K		hargrave 2024-07-14 12:01:16	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S101
S101-2	S101-2_LP-DIR-T	S101-2		mag	269.1	-61.1	1.0	7.0	100.0	2.4	6.7	863.0	833.0	K		hargrave 2024-07-14 12:01:16	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S101
